Date,Height (cm)
17/04/10,120
24/04/10,121.5
28/05/10,122.5
21/08/10,124
26/02/11,126.5
17/03/11,127.5
16/06/11,128.5
06/09/11,131.5
02/12/11,132
11/03/12,133
12/04/12,134
03/06/12,135.3
19/06/12,136
11/09/12,137.5
21/10/12,138
17/12/12,139
06/01/13,140
21/03/13,140.5
25/04/13,142
17/08/13,142.5
12/09/13,143.5
26/02/14,146
13/04/14,147
01/10/14,149.5
04/12/14,151
01/05/15,152
20/06/15,153
15/11/15,153.5
29/01/16,156
27/06/16,156.5
16/04/17,160
14/08/17,163
31/03/18,166
06/05/19,173
24/06/19,175.5
29/9/19,176.3
10/10/19,177
